top - 01:27:59 up  1:54,  4 users,  load average: 3.63, 1.55, 0.99
Tasks: 217 total,   2 running, 207 sleeping,   8 stopped,   0 zombie
%Cpu(s):  6.5 us, 38.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 54.8 si,  0.0 st 
MiB Mem :   3403.7 total,    125.1 free,   2344.7 used,    793.3 buff/cache     
MiB Swap:   3915.0 total,   3579.2 free,    335.8 used.   1059.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2930 anass     20   0  306564   7520   6368 S   0.0   0.2   0:00.03 gsd-dis+
   2931 anass     20   0  458268   6908   6524 S   0.0   0.2   0:00.03 gsd-rfk+
   2932 anass     20   0  840336  52764  42268 S   0.0   1.5   0:00.40 evoluti+
   2936 anass     20   0  310352   6596   6212 S   0.0   0.2   0:00.03 gsd-scr+
   2946 anass     20   0  469048   9200   8560 S   0.0   0.3   0:00.07 gsd-sha+
   2951 anass     20   0  386760   7064   6680 S   0.0   0.2   0:00.04 gsd-sma+
   2969 anass     20   0  257512   8100   7716 S   0.0   0.2   0:00.05 gsd-sou+
   3003 anass     20   0  414072  16456  15304 S   0.0   0.5   0:00.17 gsd-wac+
   3017 root      20   0  312488   6860   6476 S   0.0   0.2   0:00.06 power-p+
   3070 anass     20   0  389920   9928   8776 S   0.0   0.3   0:00.20 gvfs-ud+
   3090 anass     20   0  522884  16628  16116 S   0.0   0.5   0:00.05 goa-dae+
   3168 anass     20   0  417768  11460  10948 S   0.0   0.3   0:00.07 gsd-pri+
   3179 anass     20   0  699148  18568  17416 S   0.0   0.5   0:00.19 evoluti+
   3201 anass     20   0  392508   7848   7464 S   0.0   0.2   0:00.56 gvfs-af+
   3215 anass     20   0  390648   8896   7872 S   0.0   0.3   0:00.04 goa-ide+
   3236 anass     20   0  311644   6724   6340 S   0.0   0.2   0:00.04 gvfs-gp+
   3263 anass     20   0  310668   6692   6308 S   0.0   0.2   0:00.03 gvfs-mt+
   3266 anass     20   0  171668   6656   6400 S   0.0   0.2   0:00.02 gvfsd-m+
   3282 anass     20   0  310520   6620   6236 S   0.0   0.2   0:00.03 gvfs-go+
   3294 anass     20   0  696964  21816  21048 S   0.0   0.6   0:00.14 evoluti+
   3314 anass     20   0  245720   7384   7128 S   0.0   0.2   0:00.01 ibus-dc+
   3315 anass     20   0  424176  26900  16460 S   0.0   0.8   0:02.82 ibus-ex+
   3320 anass     20   0  311220   7580   6940 S   0.0   0.2   0:00.04 ibus-po+
   3367 anass     20   0  172024   7712   7072 S   0.0   0.2   0:01.21 ibus-en+
   3420 anass     20   0  610784   8708   7684 S   0.0   0.2   0:00.27 gvfsd-t+
   3460 anass     20   0 2533040  21792  17400 S   0.0   0.6   0:00.33 gjs
   3509 anass     39  19  686448  20380  16424 S   0.0   0.6   0:00.99 localse+
   3544 anass     20   0  640664  15236  13316 S   0.0   0.4   0:00.40 xdg-des+
   3545 root      20   0  312252   6660   6532 S   0.0   0.2   0:00.02 ubuntu-+
   3556 anass     20   0  686936  22576  19248 S   0.0   0.6   0:00.49 xdg-des+
   3597 anass     20   0  418380  20712  17512 S   0.0   0.6   0:00.24 xdg-des+
   3641 anass     20   0  205780  21260   8972 S   0.0   0.6   0:00.20 Xwayland
   3645 anass     20   0  463536  32600  21120 S   0.0   0.9   0:00.26 gsd-xse+
   3651 anass     20   0  812112  47820  21452 S   0.0   1.4   0:00.39 mutter-+
   3676 anass     20   0  179416  12196  10788 S   0.0   0.3   0:00.04 ibus-x11
   3772 anass     20   0  632824  46208  36408 S   0.0   1.3   0:12.32 gnome-t+
   3781 anass     20   0   12264   6072   4408 S   0.0   0.2   0:00.24 bash
   3793 anass     20   0  495948  31860  24436 S   0.0   0.9   0:00.78 update-+
   4117 root      20   0  558756  26380  19316 S   0.0   0.8   0:01.86 fwupd
   4540 root      20   0 1874672  24936   7208 S   0.0   0.7   0:14.90 snapd
   6125 anass     20   0   39136   6080   4672 S   0.0   0.2   0:00.30 snapd-d+
   6267 anass     20   0  429588  15284   6432 S   0.0   0.4   0:00.19 snapd-d+
   6604 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   7404 anass     20   0 1618096  11652   3264 S   0.0   0.3   0:00.56 snap
   8136 root       0 -20       0      0      0 I   0.0   0.0   0:00.70 kworker+
   8374 root      20   0   13384   5784   5016 S   0.0   0.2   0:00.04 su
   8392 sysadmin  20   0   22680  11672  10264 S   0.0   0.3   0:00.23 systemd
   8401 sysadmin  20   0   22476   1956   1760 S   0.0   0.1   0:00.00 (sd-pam)
